time,e1,e2,e3,e4,i1,i2
0.117,5.87785252292475,3.67365782682797,5.14312095755915,11.7557050458495,-2.20419469609678,-6.61258408829034
0.118,8.0901699437495,5.05635621484344,7.07889870078081,16.180339887499,-3.03381372890606,-9.10144118671819
0.119,9.51056516295155,5.94410322684472,8.32174451758261,19.0211303259031,-3.56646193610683,-10.6993858083205
0.12,10,6.25,8.75,20,-3.75,-11.25
0.121,9.51056516295153,5.94410322684471,8.32174451758259,19.0211303259031,-3.56646193610682,-10.6993858083205
0.122,8.09016994374945,5.05635621484341,7.07889870078077,16.1803398874989,-3.03381372890604,-9.10144118671813
0.123,5.87785252292474,3.67365782682796,5.14312095755915,11.7557050458495,-2.20419469609678,-6.61258408829034
0.124,3.09016994374947,1.93135621484342,2.70389870078079,6.18033988749894,-1.15881372890605,-3.47644118671816
0.125,-1.96067283990894e-14,-1.22542052494309e-14,-1.71558873492032e-14,-3.92134567981788e-14,7.35252314965853e-15,2.20575694489756e-14
0.126,-3.09016994374951,-1.93135621484344,-2.70389870078082,-6.18033988749902,1.15881372890607,3.4764411867182
0.127,-5.87785252292478,-3.67365782682799,-5.14312095755918,-11.7557050458496,2.20419469609679,6.61258408829037
0.128,-8.09016994374947,-5.05635621484342,-7.07889870078079,-16.1803398874989,3.03381372890605,9.10144118671816
0.129,-9.51056516295154,-5.94410322684471,-8.3217445175826,-19.0211303259031,3.56646193610683,10.6993858083205
0.13,-10,-6.25,-8.75,-20,3.75,11.25
0.131,-9.51056516295152,-5.9441032268447,-8.32174451758258,-19.021130325903,3.56646193610682,10.6993858083205
0.132,-8.09016994374943,-5.0563562148434,-7.07889870078075,-16.1803398874989,3.03381372890604,9.10144118671811
0.133,-5.87785252292472,-3.67365782682795,-5.14312095755913,-11.7557050458494,2.20419469609677,6.6125840882903
0.134,-3.09016994374944,-1.9313562148434,-2.70389870078076,-6.18033988749888,1.15881372890604,3.47644118671812
0.135,5.39092183879471e-14,3.36932614924669e-14,4.71705660894537e-14,1.07818436775894e-13,-2.02159568954802e-14,-6.06478706864405e-14
0.136,3.09016994374954,1.93135621484346,2.70389870078085,6.18033988749908,-1.15881372890608,-3.47644118671823
0.137,5.87785252292475,3.67365782682797,5.14312095755915,11.7557050458495,-2.20419469609678,-6.61258408829034
0.138,8.0901699437495,5.05635621484343,7.07889870078081,16.180339887499,-3.03381372890606,-9.10144118671818
0.139,9.51056516295155,5.94410322684472,8.32174451758261,19.0211303259031,-3.56646193610683,-10.6993858083205
0.14,10,6.25,8.75,20,-3.75,-11.25
0.141,9.51056516295151,5.94410322684469,8.32174451758257,19.021130325903,-3.56646193610682,-10.6993858083204
0.142,8.09016994374945,5.05635621484341,7.07889870078077,16.1803398874989,-3.03381372890604,-9.10144118671813
0.143,5.87785252292469,3.67365782682793,5.1431209575591,11.7557050458494,-2.20419469609676,-6.61258408829027
0.144,3.09016994374941,1.93135621484338,2.70389870078073,6.18033988749881,-1.15881372890603,-3.47644118671808
0.145,-1.71574348007947e-14,-1.07233967504967e-14,-1.50127554506954e-14,-3.43148696015894e-14,6.43403805029802e-15,1.93021141508941e-14
0.146,-3.09016994374944,-1.9313562148434,-2.70389870078076,-6.18033988749888,1.15881372890604,3.47644118671812
0.147,-5.87785252292472,-3.67365782682795,-5.14312095755913,-11.7557050458494,2.20419469609677,6.6125840882903
0.148,-8.09016994374947,-5.05635621484342,-7.07889870078079,-16.1803398874989,3.03381372890605,9.10144118671816
0.149,-9.51056516295154,-5.94410322684471,-8.3217445175826,-19.0211303259031,3.56646193610683,10.6993858083205
0.15,-10,-6.25,-8.75,-20,3.75,11.25
0.151,-9.51056516295154,-5.94410322684471,-8.3217445175826,-19.0211303259031,3.56646193610683,10.6993858083205
0.152,-8.09016994374947,-5.05635621484342,-7.07889870078079,-16.1803398874989,3.03381372890605,9.10144118671816
0.153,-5.87785252292472,-3.67365782682795,-5.14312095755913,-11.7557050458494,2.20419469609677,6.61258408829031
0.154,-3.09016994374944,-1.9313562148434,-2.70389870078076,-6.18033988749889,1.15881372890604,3.47644118671812
0.155,5.14599247896524e-14,3.21624529935327e-14,4.50274341909458e-14,1.02919849579305e-13,-1.92974717961196e-14,-5.78924153883589e-14
0.156,3.09016994374947,1.93135621484342,2.70389870078079,6.18033988749894,-1.15881372890605,-3.47644118671816
0.157,5.87785252292474,3.67365782682796,5.14312095755915,11.7557050458495,-2.20419469609678,-6.61258408829034
0.158,8.09016994374949,5.05635621484343,7.07889870078081,16.180339887499,-3.03381372890606,-9.10144118671818
0.159,9.51056516295155,5.94410322684472,8.32174451758261,19.0211303259031,-3.56646193610683,-10.6993858083205
0.16,10,6.25,8.75,20,-3.75,-11.25
0.161,9.51056516295153,5.94410322684471,8.32174451758259,19.0211303259031,-3.56646193610682,-10.6993858083205
0.162,8.09016994374945,5.05635621484341,7.07889870078077,16.1803398874989,-3.03381372890605,-9.10144118671814
0.163,5.87785252292469,3.67365782682793,5.1431209575591,11.7557050458494,-2.20419469609676,-6.61258408829028
0.164,3.09016994374941,1.93135621484338,2.70389870078073,6.18033988749882,-1.15881372890603,-3.47644118671809
