time,e1,e2,i21
0.133,-3.91856834861648,1.95928417430824,3.91856834861648
0.134,-2.06011329583296,1.03005664791648,2.06011329583296
0.135,3.5939478925298e-14,-1.7969739462649e-14,-3.5939478925298e-14
0.136,2.06011329583303,-1.03005664791651,-2.06011329583303
0.137,3.9185683486165,-1.95928417430825,-3.9185683486165
0.138,5.39344662916633,-2.69672331458317,-5.39344662916633
0.139,6.34037677530103,-3.17018838765052,-6.34037677530103
0.14,6.66666666666667,-3.33333333333333,-6.66666666666667
0.141,6.34037677530101,-3.1701883876505,-6.34037677530101
0.142,5.3934466291663,-2.69672331458315,-5.3934466291663
0.143,3.91856834861646,-1.95928417430823,-3.91856834861646
0.144,2.06011329583294,-1.03005664791647,-2.06011329583294
0.145,-1.14382898671965e-14,5.71914493359824e-15,1.14382898671965e-14
0.146,-2.06011329583296,1.03005664791648,2.06011329583296
0.147,-3.91856834861648,1.95928417430824,3.91856834861648
0.148,-5.39344662916631,2.69672331458316,5.39344662916631
0.149,-6.34037677530103,3.17018838765051,6.34037677530103
0.15,-6.66666666666667,3.33333333333333,6.66666666666667
0.151,-6.34037677530103,3.17018838765051,6.34037677530103
0.152,-5.39344662916632,2.69672331458316,5.39344662916632
0.153,-3.91856834861648,1.95928417430824,3.91856834861648
0.154,-2.06011329583296,1.03005664791648,2.06011329583296
0.155,3.43066165264349e-14,-1.71533082632175e-14,-3.43066165264349e-14
0.156,2.06011329583298,-1.03005664791649,-2.06011329583298
0.157,3.9185683486165,-1.95928417430825,-3.9185683486165
0.158,5.39344662916633,-2.69672331458316,-5.39344662916633
0.159,6.34037677530103,-3.17018838765052,-6.34037677530103
0.16,6.66666666666667,-3.33333333333333,-6.66666666666667
0.161,6.34037677530102,-3.17018838765051,-6.34037677530102
0.162,5.3934466291663,-2.69672331458315,-5.3934466291663
0.163,3.91856834861646,-1.95928417430823,-3.91856834861646
0.164,2.06011329583294,-1.03005664791647,-2.06011329583294
0.165,-9.80542746833334e-15,4.90271373416667e-15,9.80542746833334e-15
0.166,-2.060113295833,1.0300566479165,2.060113295833
0.167,-3.91856834861651,1.95928417430826,3.91856834861651
0.168,-5.39344662916634,2.69672331458317,5.39344662916634
0.169,-6.34037677530104,3.17018838765052,6.34037677530104
0.17,-6.66666666666667,3.33333333333333,6.66666666666667
0.171,-6.34037677530101,3.17018838765051,6.34037677530101
0.172,-5.39344662916629,2.69672331458314,5.39344662916629
0.173,-3.91856834861644,1.95928417430822,3.91856834861644
0.174,-2.06011329583292,1.03005664791646,2.06011329583292
0.175,3.26737541275718e-14,-1.63368770637859e-14,-3.26737541275718e-14
0.176,2.06011329583298,-1.03005664791649,-2.06011329583298
0.177,3.9185683486165,-1.95928417430825,-3.9185683486165
0.178,5.3934466291663,-2.69672331458315,-5.3934466291663
0.179,6.34037677530102,-3.17018838765051,-6.34037677530102
0.18,6.66666666666667,-3.33333333333333,-6.66666666666667
0.181,6.34037677530102,-3.17018838765051,-6.34037677530102
0.182,5.3934466291663,-2.69672331458315,-5.3934466291663
0.183,3.9185683486165,-1.95928417430825,-3.9185683486165
0.184,2.06011329583299,-1.03005664791649,-2.06011329583299
0.185,-8.1725650694702e-15,4.0862825347351e-15,8.1725650694702e-15
0.186,-2.060113295833,1.0300566479165,2.060113295833
0.187,-3.91856834861651,1.95928417430826,3.91856834861651
0.188,-5.39344662916631,2.69672331458316,5.39344662916631
0.189,-6.34037677530103,3.17018838765051,6.34037677530103
0.19,-6.66666666666667,3.33333333333333,6.66666666666667
0.191,-6.34037677530101,3.17018838765051,6.34037677530101
0.192,-5.39344662916629,2.69672331458315,5.39344662916629
0.193,-3.91856834861648,1.95928417430824,3.91856834861648
0.194,-2.06011329583296,1.03005664791648,2.06011329583296
0.195,3.10408917287086e-14,-1.55204458643543e-14,-3.10408917287086e-14
0.196,2.06011329583302,-1.03005664791651,-2.06011329583302
0.197,3.91856834861653,-1.95928417430827,-3.91856834861653
0.198,5.39344662916633,-2.69672331458316,-5.39344662916633
0.199,6.34037677530103,-3.17018838765052,-6.34037677530103
0.2,6.66666666666667,-3.33333333333333,-6.66666666666667
0.201,6.34037677530101,-3.1701883876505,-6.34037677530101
0.202,5.39344662916633,-2.69672331458317,-5.39344662916633
0.203,3.9185683486165,-1.95928417430825,-3.9185683486165
0.204,2.06011329583299,-1.03005664791649,-2.06011329583299
0.205,-6.53970267060706e-15,3.26985133530353e-15,6.53970267060706e-15
0.206,-2.060113295833,1.0300566479165,2.060113295833
0.207,-3.91856834861651,1.95928417430826,3.91856834861651
0.208,-5.39344662916634,2.69672331458317,5.39344662916634
0.209,-6.34037677530101,3.17018838765051,6.34037677530101
0.21,-6.66666666666667,3.33333333333333,6.66666666666667
0.211,-6.34037677530103,3.17018838765051,6.34037677530103
0.212,-5.39344662916632,2.69672331458316,5.39344662916632
0.213,-3.91856834861656,1.95928417430828,3.91856834861656
0.214,-2.06011329583306,1.03005664791653,2.06011329583306
0.215,-6.53310021048345e-14,3.26655010524173e-14,6.53310021048345e-14
0.216,2.06011329583293,-1.03005664791647,-2.06011329583293
0.217,3.91856834861645,-1.95928417430823,-3.91856834861645
0.218,5.3934466291663,-2.69672331458315,-5.3934466291663
0.219,6.34037677530102,-3.17018838765051,-6.34037677530102
0.22,6.66666666666667,-3.33333333333333,-6.66666666666667
0.221,6.34037677530102,-3.17018838765051,-6.34037677530102
0.222,5.39344662916631,-2.69672331458315,-5.39344662916631
0.223,3.91856834861654,-1.95928417430827,-3.91856834861654
0.224,2.06011329583303,-1.03005664791652,-2.06011329583303
0.225,4.24626754455961e-14,-2.1231337722798e-14,-4.24626754455961e-14
0.226,-2.06011329583295,1.03005664791648,2.06011329583295
0.227,-3.91856834861647,1.95928417430824,3.91856834861647
0.228,-5.39344662916631,2.69672331458316,5.39344662916631
0.229,-6.34037677530103,3.17018838765051,6.34037677530103
0.23,-6.66666666666667,3.33333333333333,6.66666666666667
0.231,-6.34037677530101,3.17018838765051,6.34037677530101
0.232,-5.39344662916635,2.69672331458317,5.39344662916635
0.233,-3.91856834861652,1.95928417430826,3.91856834861652
0.234,-2.06011329583301,1.03005664791651,2.06011329583301
0.235,-1.95943487863576e-14,9.79717439317882e-15,1.95943487863576e-14
0.236,2.06011329583298,-1.03005664791649,-2.06011329583298
0.237,3.91856834861649,-1.95928417430824,-3.91856834861649
0.238,5.39344662916632,-2.69672331458316,-5.39344662916632
0.239,6.34037677530103,-3.17018838765052,-6.34037677530103
0.24,6.66666666666667,-3.33333333333333,-6.66666666666667
0.241,6.34037677530104,-3.17018838765052,-6.34037677530104
0.242,5.39344662916633,-2.69672331458317,-5.39344662916633
0.243,3.9185683486165,-1.95928417430825,-3.9185683486165
0.244,2.06011329583299,-1.0300566479165,-2.06011329583299
0.245,-3.27397787288079e-15,1.63698893644039e-15,3.27397787288079e-15
0.246,-2.06011329583291,1.03005664791645,2.06011329583291
0.247,-3.91856834861643,1.95928417430822,3.91856834861643
0.248,-5.39344662916628,2.69672331458314,5.39344662916628
0.249,-6.34037677530101,3.17018838765051,6.34037677530101
0.25,-6.66666666666667,3.33333333333333,6.66666666666667
0.251,-6.34037677530103,3.17018838765052,6.34037677530103
0.252,-5.39344662916632,2.69672331458316,5.39344662916632
0.253,-3.91856834861649,1.95928417430824,3.91856834861649
0.254,-2.06011329583297,1.03005664791648,2.06011329583297
0.255,-6.85967269025608e-14,3.42983634512804e-14,6.85967269025608e-14
0.256,2.06011329583293,-1.03005664791646,-2.06011329583293
0.257,3.91856834861645,-1.95928417430823,-3.91856834861645
0.258,5.3934466291663,-2.69672331458315,-5.3934466291663
0.259,6.34037677530102,-3.17018838765051,-6.34037677530102
0.26,6.66666666666667,-3.33333333333333,-6.66666666666667
0.261,6.34037677530102,-3.17018838765051,-6.34037677530102
0.262,5.39344662916631,-2.69672331458315,-5.39344662916631
0.263,3.91856834861647,-1.95928417430823,-3.91856834861647
0.264,2.06011329583295,-1.03005664791647,-2.06011329583295
0.265,4.57284002433224e-14,-2.28642001216612e-14,-4.57284002433224e-14
0.266,-2.06011329583295,1.03005664791648,2.06011329583295
0.267,-3.91856834861647,1.95928417430824,3.91856834861647
0.268,-5.39344662916631,2.69672331458316,5.39344662916631
0.269,-6.34037677530102,3.17018838765051,6.34037677530102
0.27,-6.66666666666667,3.33333333333333,6.66666666666667
0.271,-6.34037677530102,3.17018838765051,6.34037677530102
0.272,-5.3934466291663,2.69672331458315,5.3934466291663
0.273,-3.91856834861645,1.95928417430822,3.91856834861645
0.274,-2.06011329583302,1.03005664791651,2.06011329583302
0.275,-2.28600735840839e-14,1.1430036792042e-14,2.28600735840839e-14
0.276,2.06011329583297,-1.03005664791649,-2.06011329583297
0.277,3.91856834861649,-1.95928417430824,-3.91856834861649
0.278,5.39344662916632,-2.69672331458316,-5.39344662916632
0.279,6.34037677530103,-3.17018838765052,-6.34037677530103
