time,e1,e2,e3,e4,i1
0.185,-4.22930242345083e-13,101.098337536169,-2.65177535681993,96.1858798956852,20.2196675072339
0.186,-106.610863059358,85.913202898295,-2.13977497641476,77.9228902812913,38.5048131915306
0.187,-202.785912040905,62.3178421911828,-1.41987253294062,52.0305305489812,53.0207508464175
0.188,-279.110863059357,32.6218801590251,-0.562431533196224,21.0432805145919,62.3465486436764
0.189,-328.114498121828,-0.267883150282863,0.348720052416704,-12.0056457410274,65.5693229943091
0.19,-345,-33.1320104385374,1.22449508878551,-43.8812126248589,62.3735979122925
0.191,-328.114498121827,-62.753568333163,1.97926741173718,-71.4632314810935,53.0721859577329
0.192,-279.110863059356,-86.2330234699573,2.5392532119223,-92.0517870200419,38.5755679178796
0.193,-202.785912040903,-101.272069258424,2.84973323771227,-103.63152445708,20.3027685564958
0.194,-106.610863059356,-106.39860038682,2.88040885653357,-105.068927092676,0.0424525345072411
0.195,1.60636614696067e-12,-101.11081299342,2.62836768494186,-96.2232734272518,-20.2221625986842
0.196,106.610863059359,-85.9263249738601,2.11836848975665,-77.9604125534067,-38.5074376066438
0.197,202.785912040906,-62.331508185359,1.4004174709618,-52.0680093923215,-53.0234840452529
0.198,279.110863059357,-32.6359922634889,0.544873175469846,-21.0805561595135,-62.3493710645693
0.199,328.114498121828,0.253417769454416,-0.364440794347633,11.9687208445453,-65.5722160704748
0.2,345,33.1172795858131,-1.23844110255009,43.8447740283061,-62.3765440828374
0.201,328.114498121827,62.7386547547001,-1.99150483913532,71.4274029956341,-53.0751686734254
0.202,279.110863059358,86.2180048491818,-2.54985092847243,92.0166810080293,-38.5785716420352
0.203,202.785912040904,101.257018234307,-2.85876235728316,103.597242153207,-20.3057787613193
0.204,106.610863059357,106.383584593142,-2.88794226144609,105.035558951213,-0.0454556932429995
0.205,-3.38429613203915e-13,101.095895117333,-2.63447958178755,96.1908994919815,20.2191790234667
0.206,-106.610863059358,85.9115628321088,-2.12313399104861,77.9291028469844,38.5044851782933
0.207,-202.785912040904,62.316954816549,-1.40391220261205,52.0378243219604,53.0205733714907
