# seconds.nanoseconds(sequence)	sine
1550489591.895678200(607)	0.809017
1550489591.896678200(608)	0.587785
1550489591.897678200(609)	0.309017
1550489591.898678200(610)	0.000000
1550489591.899678200(611)	-0.309017
1550489591.900678200(612)	-0.587785
1550489591.901678200(613)	-0.809017
1550489591.902678200(614)	-0.951057
1550489591.903678200(615)	-1.000000
1550489591.904678200(616)	-0.951057
1550489591.905678200(617)	-0.809017
1550489591.906678200(618)	-0.587785
1550489591.907678200(619)	-0.309017
1550489591.908678200(620)	-0.000000
1550489591.909678200(621)	0.309017
1550489591.910678200(622)	0.587785
1550489591.911678200(623)	0.809017
1550489591.912678200(624)	0.951057
1550489591.913678200(625)	1.000000
1550489591.914678200(626)	0.951057
1550489591.915678200(627)	0.809017
1550489591.916678200(628)	0.587785
1550489591.917678200(629)	0.309017
1550489591.918678200(630)	-0.000000
1550489591.919678200(631)	-0.309017
1550489591.920678200(632)	-0.587785
1550489591.921678200(633)	-0.809017
1550489591.922678200(634)	-0.951057
1550489591.923678200(635)	-1.000000
1550489591.924678200(636)	-0.951057
1550489591.925678200(637)	-0.809017
1550489591.926678200(638)	-0.587785
1550489591.927678200(639)	-0.309017
1550489591.928678200(640)	-0.000000
1550489591.929678200(641)	0.309017
1550489591.930678200(642)	0.587785
1550489591.931678200(643)	0.809017
1550489591.932678200(644)	0.951057
1550489591.933678200(645)	1.000000
1550489591.934678200(646)	0.951057
1550489591.935678200(647)	0.809017
1550489591.936678200(648)	0.587785
1550489591.937678200(649)	0.309017
1550489591.938678200(650)	0.000000
1550489591.939678200(651)	-0.309017
1550489591.940678200(652)	-0.587785
1550489591.941678200(653)	-0.809017
1550489591.942678200(654)	-0.951057
1550489591.943678200(655)	-1.000000
1550489591.944678200(656)	-0.951057
1550489591.945678200(657)	-0.809017
1550489591.946678200(658)	-0.587785
1550489591.947678200(659)	-0.309017
1550489591.948678200(660)	-0.000000
1550489591.949678200(661)	0.309017
1550489591.950678200(662)	0.587785
1550489591.951678200(663)	0.809017
1550489591.952678200(664)	0.951057
1550489591.953678200(665)	1.000000
1550489591.954678200(666)	0.951057
1550489591.955678200(667)	0.809017
1550489591.956678200(668)	0.587785
1550489591.957678200(669)	0.309017
1550489591.958678200(670)	0.000000
1550489591.959678200(671)	-0.309017
1550489591.960678200(672)	-0.587785
1550489591.961678200(673)	-0.809017
1550489591.962678200(674)	-0.951057
1550489591.963678200(675)	-1.000000
1550489591.964678200(676)	-0.951057
