0.203,5.3684,3.5292,0.69596
0.204,2.5159,1.7656,0.77249
0.205,-0.58268,-0.17081,0.77347
0.206,-3.6242,-2.0904,0.6988
0.207,-6.3109,-3.8054,0.55579
0.208,-8.3798,-5.1478,0.35844
0.209,-9.6283,-5.9862,0.12607
0.21,-9.9343,-6.2386,-0.11857
0.211,-9.2678,-5.8803,-0.35155
0.212,-7.694,-4.9463,-0.55005
0.213,-5.367,-3.5281,-0.69464
0.214,-2.5146,-1.7644,-0.77117
0.215,0.584,0.17196,-0.77216
0.216,3.6255,2.0916,-0.69749
0.217,6.3122,3.8065,-0.55449
0.218,8.3811,5.1489,-0.35715
0.219,9.6296,5.9873,-0.12479
0.22,9.9356,6.2397,0.11985
0.221,9.2691,5.8814,0.35282
0.222,7.6953,4.9474,0.55131
0.223,5.3683,3.5292,0.6959
0.224,2.5159,1.7655,0.77243
0.225,-0.58276,-0.17088,0.7734
0.226,-3.6243,-2.0905,0.69873
0.227,-6.311,-3.8054,0.55572
0.228,-8.3799,-5.1478,0.35838
0.229,-9.6284,-5.9863,0.12601
0.23,-9.9344,-6.2387,-0.11864
0.231,-9.2679,-5.8803,-0.35161
0.232,-7.6941,-4.9463,-0.55011
0.233,-5.3671,-3.5281,-0.6947
0.234,-2.5147,-1.7645,-0.77124
0.235,0.58392,0.1719,-0.77222
0.236,3.6254,2.0915,-0.69756
0.237,6.3121,3.8064,-0.55456
0.238,8.381,5.1488,-0.35721
0.239,9.6295,5.9872,-0.12485
0.24,9.9355,6.2396,0.11979
0.241,9.269,5.8813,0.35276
0.242,7.6952,4.9473,0.55125
0.243,5.3682,3.5291,0.69583
0.244,2.5158,1.7655,0.77236
0.245,-0.58283,-0.17093,0.77334
0.246,-3.6244,-2.0906,0.69867
0.247,-6.3111,-3.8055,0.55566
0.248,-8.3799,-5.1479,0.35831
0.249,-9.6285,-5.9863,0.12595
0.25,-9.9345,-6.2387,-0.1187
0.251,-9.2679,-5.8804,-0.35167
0.252,-7.6942,-4.9464,-0.55017
0.253,-5.3672,-3.5282,-0.69477
0.254,-2.5148,-1.7646,-0.7713
0.255,0.58386,0.17184,-0.77228
0.256,3.6254,2.0915,-0.69762
0.257,6.3121,3.8064,-0.55462
0.258,8.3809,5.1488,-0.35727
0.259,9.6295,5.9872,-0.12491
0.26,9.9355,6.2396,0.11973
0.261,9.2689,5.8813,0.3527
0.262,7.6952,4.9473,0.55119
0.263,5.3682,3.529,0.69578
0.264,2.5157,1.7654,0.7723
0.265,-0.58289,-0.17099,0.77328
0.266,-3.6244,-2.0906,0.69861
0.267,-6.3111,-3.8055,0.5556
0.268,-8.38,-5.1479,0.35826
0.269,-9.6285,-5.9864,0.12589
0.27,-9.9345,-6.2388,-0.11876
0.271,-9.268,-5.8804,-0.35173
0.272,-7.6942,-4.9464,-0.55023
0.273,-5.3672,-3.5282,-0.69482
0.274,-2.5148,-1.7646,-0.77135
0.275,0.5838,0.17179,-0.77234
0.276,3.6253,2.0914,-0.69767
0.277,6.312,3.8063,-0.55467
0.278,8.3809,5.1487,-0.35733
0.279,9.6294,5.9871,-0.12497
0.28,9.9354,6.2395,0.11967
0.281,9.2689,5.8812,0.35264
0.282,7.6951,4.9472,0.55114
0.283,5.3681,3.529,0.69572
0.284,2.5157,1.7654,0.77225
0.285,-0.58294,-0.17103,0.77323
0.286,-3.6245,-2.0907,0.69856
0.287,-6.3112,-3.8056,0.55555
0.288,-8.38,-5.148,0.3582
0.289,-9.6286,-5.9864,0.12584
0.29,-9.9346,-6.2388,-0.11881
0.291,-9.268,-5.8805,-0.35178
0.292,-7.6943,-4.9465,-0.55028
0.293,-5.3673,-3.5283,-0.69487
0.294,-2.5149,-1.7646,-0.77141
0.295,0.58376,0.17175,-0.77239
0.296,3.6253,2.0914,-0.69772
0.297,6.312,3.8063,-0.55472
0.298,8.3808,5.1487,-0.35738
0.299,9.6294,5.9871,-0.12502
0.3,9.9354,6.2395,0.11962
